Number,Wins,Losses,Draws,Simulations,White Depth,Black Depth,Moves From End,Fen
10,3938,3935,42127,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
11,3947,3899,42154,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
12,3939,3867,42194,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
13,3940,3880,42180,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
14,3907,3793,42300,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
15,3815,3893,42292,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
16,3951,3843,42206,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
17,3867,3913,42220,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
18,3886,3938,42176,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
19,3916,3895,42189,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
20,3948,3895,42157,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
21,3820,3809,42371,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
22,3966,3855,42179,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
23,4016,3904,42080,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
24,3788,3998,42214,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
25,3914,3781,42305,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
26,3926,3788,42286,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
27,3938,3857,42205,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
28,3864,3964,42172,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
29,3964,3878,42158,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
30,3842,3871,42287,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
31,3986,3879,42135,50000,20,15,20,1rbk3r/p1qnbpp1/2p4p/1p1p4/3P2PP/P1NB1N2/1PPQ1P2/2KRR3 w - - 2 15
