Number,Wins,Losses,Draws,Simulations,White Nodes,Black Nodes,Moves From End,Fen
1,295,219,9486,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
2,326,183,9491,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
3,331,200,9469,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
4,335,206,9459,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
5,312,208,9480,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
6,284,210,9506,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
7,312,205,9483,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
8,327,182,9491,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
9,312,194,9494,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
10,276,210,9514,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
11,283,200,9517,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
12,311,183,9506,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
13,307,189,9504,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
14,313,194,9493,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
15,319,179,9502,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
16,332,188,9480,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
17,306,215,9479,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
18,322,183,9495,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
19,309,193,9498,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
20,300,217,9483,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
21,312,188,9500,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
22,311,221,9468,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
23,316,205,9479,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
24,325,191,9484,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
25,320,213,9467,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
26,314,193,9493,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
27,316,211,9473,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
28,316,202,9482,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
29,358,219,9423,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
30,328,197,9475,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
31,316,205,9479,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
32,304,195,9501,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
33,347,213,9440,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
34,313,241,9446,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
35,300,199,9501,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
36,360,223,9417,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
