Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Moves From End,Fen
1,191,140,9669,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
2,182,140,9678,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
3,167,134,9699,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
4,167,131,9702,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
5,168,151,9681,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
6,145,147,9708,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
7,201,160,9639,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
8,180,141,9679,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
9,183,147,9670,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
10,185,129,9686,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
11,202,137,9661,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
12,190,131,9679,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
13,163,140,9697,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
14,184,127,9689,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
15,175,144,9681,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
16,197,131,9672,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
17,174,133,9693,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
18,188,153,9659,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
19,185,146,9669,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
20,201,142,9657,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
21,204,137,9659,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
22,205,115,9680,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
23,179,130,9691,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
24,172,134,9694,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
25,187,130,9683,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
26,181,142,9677,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
27,181,129,9690,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
28,181,130,9689,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
29,187,128,9685,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
30,191,143,9666,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
31,180,142,9678,10000,0.05,0.1,20,8/5k1p/8/8/3Q1P2/6K1/8/4q3 w - - 3 89
