Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
1,86,104,9810,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
2,103,88,9809,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
3,89,119,9792,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
4,77,87,9836,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
5,92,95,9813,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
6,107,108,9785,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
7,92,108,9800,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
8,104,98,9798,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
9,102,91,9807,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
10,99,108,9793,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
11,99,102,9799,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
12,105,112,9783,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
13,93,112,9795,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
14,95,118,9787,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
15,108,98,9794,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
16,84,99,9817,10000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
