Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
1,0,220,9780,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
2,0,206,9794,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
3,0,225,9775,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
4,0,190,9810,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
5,0,232,9768,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
6,0,206,9794,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
7,0,208,9792,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
8,0,199,9801,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
9,0,207,9793,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
10,0,197,9803,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
11,0,164,9836,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
12,0,196,9804,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
13,0,183,9817,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
14,0,219,9781,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
15,0,216,9784,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
16,0,199,9801,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
17,0,223,9777,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
18,0,209,9791,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
19,0,178,9822,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
20,0,226,9774,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
21,0,208,9792,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
22,0,199,9801,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
23,0,202,9798,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
24,0,197,9803,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
25,0,192,9808,10000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
""
1,0,376,19624,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
2,0,403,19597,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
3,0,362,19638,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
4,0,420,19580,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
5,0,422,19578,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
6,0,403,19597,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
7,0,417,19583,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
8,0,358,19642,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
9,0,430,19570,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
10,0,408,19592,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
11,0,385,19615,20000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
