Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,End Result
1,33,38,9929,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
2,32,31,9937,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
3,36,36,9928,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
4,29,32,9939,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
5,31,27,9942,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
6,31,29,9940,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
7,36,24,9940,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
8,32,20,9948,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
9,30,33,9937,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
10,40,39,9921,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
11,41,28,9931,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
12,33,34,9933,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
13,37,38,9925,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
14,28,33,9939,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
15,34,30,9936,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
16,30,30,9940,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
17,44,36,9920,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
18,45,35,9920,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
19,39,33,9928,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
20,30,41,9929,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
21,41,29,9930,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
22,38,22,9940,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
23,34,26,9940,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
24,39,30,9931,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
25,40,30,9930,10000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
""
1,86,60,19854,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
2,81,72,19847,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
3,68,66,19866,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
4,73,55,19872,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
5,77,62,19861,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
6,67,61,19872,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
7,57,63,19880,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
8,74,56,19870,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
9,75,61,19864,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
10,65,57,19878,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
11,83,56,19861,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
12,71,67,19862,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
13,81,71,19848,20000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
