Number,Wins,Losses,Draws,Simulations,,p-Win,p-Lose,SE-Win,,,SE-Lose,,
1,277,678,9045,10000,,0.0277,0.0678,0.001641119,0.024417762,0.030982238,0.002514024,0.062771952,4.005028048
2,286,734,8980,10000,,0.0286,0.0734,0.001666795,0.025266411,0.031933589,0.002607919,0.068184161,4.005215839
3,300,702,8998,10000,,0.03,0.0702,0.001705872,0.026588256,0.033411744,0.002554838,0.065090324,4.005109676
4,281,734,8985,10000,,0.0281,0.0734,0.001652586,0.024794829,0.031405171,0.002607919,0.068184161,4.005215839
5,283,702,9015,10000,,0.0283,0.0702,0.001658286,0.024983429,0.031616571,0.002554838,0.065090324,4.005109676
6,307,696,8997,10000,,0.0307,0.0696,0.001725037,0.027249927,0.034150073,0.002544717,0.064510566,4.005089434
7,303,734,8963,10000,,0.0303,0.0734,0.001714115,0.02687177,0.03372823,0.002607919,0.068184161,4.005215839
8,262,730,9008,10000,,0.0262,0.073,0.001597296,0.023005407,0.029394593,0.002601365,0.06779727,4.00520273
9,298,761,8941,10000,,0.0298,0.0761,0.001700352,0.026399297,0.033200703,0.00265158,0.070796839,4.005303161
10,268,759,8973,10000,,0.0268,0.0759,0.001614985,0.02357003,0.03002997,0.00264838,0.070603239,4.005296761
11,307,728,8965,10000,,0.0307,0.0728,0.001725037,0.027249927,0.034150073,0.002598079,0.067603841,4.005196159
12,273,711,9016,10000,,0.0273,0.0711,0.001629562,0.024040877,0.030559123,0.002569918,0.065960164,4.005139836
13,332,697,8971,10000,,0.0332,0.0697,0.001791585,0.02961683,0.03678317,0.002546407,0.064607185,4.005092815
14,321,724,8955,10000,,0.0321,0.0724,0.001762657,0.028574686,0.035625314,0.002591491,0.067217019,4.005182981
15,291,711,8998,10000,,0.0291,0.0711,0.001680869,0.025738263,0.032461737,0.002569918,0.065960164,4.005139836
16,294,738,8968,10000,,0.0294,0.0738,0.00168925,0.026021501,0.032778499,0.002614451,0.068571097,4.005228903
17,297,694,9009,10000,,0.0297,0.0694,0.001697584,0.026304832,0.033095168,0.002541331,0.064317338,4.005082662
18,294,714,8992,10000,,0.0294,0.0714,0.00168925,0.026021501,0.032778499,0.002574918,0.066250163,4.005149837
19,324,688,8988,10000,,0.0324,0.0688,0.0017706,0.0288588,0.0359412,0.002531137,0.063737725,4.005062275
20,333,741,8926,10000,,0.0333,0.0741,0.001794188,0.029711624,0.036888376,0.002619336,0.068861329,4.005238671
21,303,726,8971,10000,,0.0303,0.0726,0.001714115,0.02687177,0.03372823,0.002594788,0.067410424,4.005189576
22,265,762,8973,10000,,0.0265,0.0762,0.001606168,0.023287664,0.029712336,0.002653178,0.070893643,4.005306357
23,283,727,8990,10000,,0.0283,0.0727,0.001658286,0.024983429,0.031616571,0.002596434,0.067507131,4.005192869
24,293,762,8945,10000,,0.0293,0.0762,0.001686461,0.025927078,0.032672922,0.002653178,0.070893643,4.005306357
25,291,733,8976,10000,,0.0291,0.0733,0.001680869,0.025738263,0.032461737,0.002606283,0.068087434,4.005212566
26,296,733,8971,10000,,0.0296,0.0733,0.001694811,0.026210378,0.032989622,0.002606283,0.068087434,4.005212566
27,294,661,9045,10000,,0.0294,0.0661,0.00168925,0.026021501,0.032778499,0.002484568,0.061130864,4.004969136
28,288,705,9007,10000,,0.0288,0.0705,0.00167244,0.02545512,0.03214488,0.002559878,0.065380244,4.005119756
29,303,729,8968,10000,,0.0303,0.0729,0.001714115,0.02687177,0.03372823,0.002599723,0.067700554,4.005199446
30,285,678,9037,10000,,0.0285,0.0678,0.001663964,0.025172073,0.031827927,0.002514024,0.062771952,4.005028048
31,314,748,8938,10000,,0.0314,0.0748,0.001743962,0.027912076,0.034887924,0.002630684,0.069538633,4.005261367
32,297,708,8995,10000,,0.0297,0.0708,0.001697584,0.026304832,0.033095168,0.002564905,0.065670191,4.005129809
33,268,721,9011,10000,,0.0268,0.0721,0.001614985,0.02357003,0.03002997,0.002586534,0.066926932,4.005173068
34,293,710,8997,10000,,0.0293,0.071,0.001686461,0.025927078,0.032672922,0.002568248,0.065863503,4.005136497
35,281,769,8950,10000,,0.0281,0.0769,0.001652586,0.024794829,0.031405171,0.002664327,0.071571346,4.005328654
36,288,744,8968,10000,,0.0288,0.0744,0.00167244,0.02545512,0.03214488,0.002624207,0.069151585,4.005248415
37,294,689,9017,10000,,0.0294,0.0689,0.00168925,0.026021501,0.032778499,0.00253284,0.06383432,4.00506568
38,292,690,9018,10000,,0.0292,0.069,0.001683667,0.025832665,0.032567335,0.002534541,0.063930917,4.005069083
39,265,702,9033,10000,,0.0265,0.0702,0.001606168,0.023287664,0.029712336,0.002554838,0.065090324,4.005109676
40,298,731,8971,10000,,0.0298,0.0731,0.001700352,0.026399297,0.033200703,0.002603006,0.067893988,4.005206012
41,293,721,8986,10000,,0.0293,0.0721,0.001686461,0.025927078,0.032672922,0.002586534,0.066926932,4.005173068
42,278,699,9023,10000,,0.0278,0.0699,0.001643994,0.024512012,0.031087988,0.002549784,0.064800432,4.005099568
43,291,670,9039,10000,,0.0291,0.067,0.001680869,0.025738263,0.032461737,0.00250022,0.06199956,4.00500044
44,313,723,8964,10000,,0.0313,0.0723,0.001741273,0.027817454,0.034782546,0.00258984,0.06712032,4.00517968
